radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size,S_mean
10,29,365,0.798687089715536,15.7586206896552,1,0
20,15,399,0.87308533916849,30.4666666666667,2,0
30,13,399,0.87308533916849,35.1538461538462,2,0
40,10,403,0.881838074398249,45.7,1.5,0
50,10,403,0.881838074398249,45.7,1.5,0
60,9,403,0.881838074398249,50.7777777777778,2,0
70,8,432,0.945295404814004,57.125,2,0
80,7,432,0.945295404814004,65.2857142857143,3,0
90,7,432,0.945295404814004,65.2857142857143,3,0
100,7,432,0.945295404814004,65.2857142857143,3,0
110,7,432,0.945295404814004,65.2857142857143,3,0
120,7,432,0.945295404814004,65.2857142857143,3,0
130,7,432,0.945295404814004,65.2857142857143,3,0
140,7,432,0.945295404814004,65.2857142857143,3,0
150,6,433,0.947483588621444,76.1666666666667,3,0
160,6,433,0.947483588621444,76.1666666666667,3,0
170,6,433,0.947483588621444,76.1666666666667,3,0
180,6,433,0.947483588621444,76.1666666666667,3,0
190,6,433,0.947483588621444,76.1666666666667,3,0
200,6,433,0.947483588621444,76.1666666666667,3,0
210,6,433,0.947483588621444,76.1666666666667,3,0
220,6,433,0.947483588621444,76.1666666666667,3,0
230,6,433,0.947483588621444,76.1666666666667,3,0
240,6,433,0.947483588621444,76.1666666666667,3,0
250,6,433,0.947483588621444,76.1666666666667,3,0
260,6,433,0.947483588621444,76.1666666666667,3,0
270,6,433,0.947483588621444,76.1666666666667,3,0
280,6,433,0.947483588621444,76.1666666666667,3,0
290,6,433,0.947483588621444,76.1666666666667,3,0
300,6,433,0.947483588621444,76.1666666666667,3,0
310,6,433,0.947483588621444,76.1666666666667,3,0
320,6,433,0.947483588621444,76.1666666666667,3,0
330,6,433,0.947483588621444,76.1666666666667,3,0
340,6,433,0.947483588621444,76.1666666666667,3,0
350,6,433,0.947483588621444,76.1666666666667,3,0
360,6,433,0.947483588621444,76.1666666666667,3,0
370,6,433,0.947483588621444,76.1666666666667,3,0
380,6,433,0.947483588621444,76.1666666666667,3,0
390,6,433,0.947483588621444,76.1666666666667,3,0
400,5,433,0.947483588621444,91.4,6,0
410,5,433,0.947483588621444,91.4,6,0
420,4,439,0.960612691466083,114.25,8.5,0
430,4,439,0.960612691466083,114.25,8.5,0
440,4,439,0.960612691466083,114.25,8.5,0
450,4,439,0.960612691466083,114.25,8.5,0
460,4,439,0.960612691466083,114.25,8.5,0
470,4,439,0.960612691466083,114.25,8.5,0
480,4,439,0.960612691466083,114.25,8.5,0
490,4,439,0.960612691466083,114.25,8.5,0
500,4,439,0.960612691466083,114.25,8.5,0
510,4,439,0.960612691466083,114.25,8.5,0
520,4,439,0.960612691466083,114.25,8.5,0
530,4,439,0.960612691466083,114.25,8.5,0
540,4,439,0.960612691466083,114.25,8.5,0
550,4,439,0.960612691466083,114.25,8.5,0
560,4,439,0.960612691466083,114.25,8.5,0
570,4,439,0.960612691466083,114.25,8.5,0
580,4,439,0.960612691466083,114.25,8.5,0
590,3,441,0.964989059080963,152.333333333333,15,0
600,3,441,0.964989059080963,152.333333333333,15,0
