"PlcIndex","RankRad20","RankRad40","RankRad60","RankRad80","RankRad100","RankRad120","RankRad140","RankRad160","RankRad180","RankRad200"
6686,6,8,5,5,5,6,4,4,4,4
8151,6,8,5,5,5,6,4,4,4,4
8152,0,0,0,0,0,0,4,4,4,4
8170,0,0,0,0,0,0,0,0,0,0
8184,1,2,2,2,2,2,2,2,2,2
8185,1,2,2,2,2,2,2,2,2,2
8186,1,2,2,2,2,2,2,2,2,2
8187,5,7,2,2,2,2,2,2,2,2
8188,5,7,2,2,2,2,2,2,2,2
8189,1,2,2,2,2,2,2,2,2,2
8413,0,0,0,0,0,5,5,3,3,3
8457,0,0,0,0,0,0,0,0,0,0
8481,0,0,0,0,0,5,5,3,3,3
8508,0,0,4,4,4,4,3,3,3,3
8528,3,3,4,4,4,4,3,3,3,3
8529,3,3,4,4,4,4,3,3,3,3
8890,0,0,0,0,0,0,0,0,0,0
8934,0,0,0,0,0,0,0,0,0,0
8997,0,0,0,0,0,0,0,0,0,0
9285,3,3,4,4,4,4,3,3,3,3
16964,0,4,1,1,1,1,1,1,1,1
17022,0,0,1,1,1,1,1,1,1,1
17061,0,0,1,1,1,1,1,1,1,1
17079,0,1,3,3,3,3,1,1,1,1
17257,0,5,1,1,1,1,1,1,1,1
17538,0,0,1,1,1,1,1,1,1,1
17619,0,0,1,1,1,1,1,1,1,1
17749,2,1,3,3,3,3,1,1,1,1
17750,2,1,3,3,3,3,1,1,1,1
17937,0,4,1,1,1,1,1,1,1,1
17998,4,6,1,1,1,1,1,1,1,1
18001,2,1,3,3,3,3,1,1,1,1
18164,0,5,1,1,1,1,1,1,1,1
18215,4,6,1,1,1,1,1,1,1,1
