"PlcIndex","Easting","Northing"
8935,4490979.341,5738679.648
6215,4492247.144,5738062.984
6238,4492416.733,5738014.713
6318,4492132.158,5738122.09
6335,4492318.082,5738052.037
6360,4491505.008,5738366.95
7284,4492318.119,5738055.341
7850,4492327.715,5738054.799
7862,4492332.763,5738053.952
7868,4492337.416,5738045.18
9108,4492151.346,5738113.364
9109,4492147.928,5738120.458
9133,4492193.385,5738105.634
9138,4492225.245,5738069.983
9140,4492228.292,5738070.042
6005,4493067.37,5737583.729
9227,4493248.068,5737483.887
5880,4491636.269,5738294.773
5740,4490573.051,5739268.903
8340,4491167.555,5738857.365
8752,4490604.272,5739249.677
8754,4490603.702,5739252.961
8755,4490588.489,5739271.891
8762,4490572.133,5739277.746
8764,4490570.323,5739273.735
