"Easting"	"Northing"	"PlcIndex"
4500609,49355835	5733402,56905	3751
4500608,19031318	5733403,7295	3752
4500745,8029218	5733379,60925	3810
4500722,9180051	5733327,08055	3842
4500723,03193516	5733325,01885	3849
4500874,65641581	5733404,8911	3867
4500678,42799236	5733382,3921	4045
4500682,5229305	5733313,3695	4326
4500612,80884317	5733352,3471	4407
4500678,51635503	5733383,93245	4524
4500887,54474984	5733431,66145	4537
4500887,27801989	5733431,64885	4538
4500593,38420937	5733388,0626	4725
4500591,78648147	5733389,8943	4729
4500683,22344053	5733313,41125	4739
4500724,92855975	5733272,78935	4786
4500887,67495778	5733431,0633	4789
4500720,35805869	5733279,69455	4888
4500654,48960465	5733350,5421	4952
4500655,50746178	5733351,9436	4961
4500720,91966856	5733280,02845	5001
4500725,32225221	5733282,6659	5003
4500719,89963116	5733282,72175	5004
4500720,06212283	5733281,70165	5005
4500722,072683	5733280,82545	5006
4500720,99313753	5733282,374	5007
4494861,37268961	5735224,3745	1149
4494913,03041081	5735238,89535	1178
4494874,97168715	5735114,3396	1575
4490939,69081579	5738654,274	1763
4491317,13032463	5738441,09105	2421
4491011,52048246	5738726,74405	1862
4494912,52034509	5735240,8739	1180
4494874,64531142	5735113,21875346	1573
4491707,3133597	5738219,76875	2185
4492878,99421734	5737751,5004	2865
4492879,63115758	5737749,55105	2866
4492833,63632929	5737780,42085	2885
4492833,25900113	5737781,6794	2856
4492829,47866759	5737781,7901	2857
4492829,92278188	5737779,7603	2858
4496602,70296523	5733796,84527341	13
4496423,0065472	5733773,9028972	229
4499973,91045442	5733146,7088	74
4496697,84868065	5733733,18817098	142
4496445,31903184	5733816,95076105	194
4496422,93093886	5733773,6340761	227
4496421,2355007	5733773,16235618	228
4495194,91976087	5734962,016	1826
4490980,24155431	5738680,35295	1921
4495470,24288709	5734684,4769	2145
