PlcIndex,ClstRad20,ClstRad40,ClstRad60,ClstRad80,ClstRad100,ClstRad120,ClstRad140,ClstRad160,ClstRad180,ClstRad200
6686,6,8,5,5,5,6,5,4,4,4
8151,6,8,5,5,5,6,5,4,4,4
8152,NA,NA,NA,NA,NA,NA,5,4,4,4
8170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8184,5,7,3,3,3,3,2,2,2,2
8185,5,7,3,3,3,3,2,2,2,2
8186,5,7,3,3,3,3,2,2,2,2
8187,3,5,3,3,3,3,2,2,2,2
8188,3,5,3,3,3,3,2,2,2,2
8189,5,7,3,3,3,3,2,2,2,2
8413,NA,NA,NA,NA,NA,4,3,3,3,3
8457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8481,NA,NA,NA,NA,NA,4,3,3,3,3
8508,NA,NA,4,4,4,5,4,3,3,3
8528,4,6,4,4,4,5,4,3,3,3
8529,4,6,4,4,4,5,4,3,3,3
8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9285,4,6,4,4,4,5,4,3,3,3
16964,NA,2,2,2,2,2,1,1,1,1
17022,NA,NA,2,2,2,2,1,1,1,1
17061,NA,NA,2,2,2,2,1,1,1,1
17079,NA,1,1,1,1,1,1,1,1,1
17257,NA,3,2,2,2,2,1,1,1,1
17538,NA,NA,2,2,2,2,1,1,1,1
17619,NA,NA,2,2,2,2,1,1,1,1
17749,1,1,1,1,1,1,1,1,1,1
17750,1,1,1,1,1,1,1,1,1,1
17937,NA,2,2,2,2,2,1,1,1,1
17998,2,4,2,2,2,2,1,1,1,1
18001,1,1,1,1,1,1,1,1,1,1
18164,NA,3,2,2,2,2,1,1,1,1
18215,2,4,2,2,2,2,1,1,1,1
